Id,Predicted
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,0
18,1
19,2
20,1
21,3
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,1
32,1
33,1
34,1
35,3
36,1
37,1
38,1
39,2
40,2
41,1
42,1
43,1
44,1
45,1
46,2
47,1
48,1
49,1
50,2
51,2
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,2
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,1
93,1
94,2
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,2
124,3
125,1
126,1
127,3
128,1
129,1
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,3
139,1
140,1
141,2
142,1
143,1
144,3
145,3
146,1
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,2
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,3
179,2
180,2
181,1
182,2
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,2
229,3
230,1
231,2
232,1
233,1
234,1
235,2
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,2
251,1
252,2
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,2
271,1
272,1
273,2
274,2
275,0
276,1
277,2
278,1
279,2
280,1
281,1
282,1
283,1
284,1
285,2
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,2
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,3
320,1
321,1
322,2
323,1
324,1
325,2
326,1
327,0
328,1
329,2
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,3
340,1
341,2
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,0
361,1
362,2
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,2
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,2
414,1
415,2
416,1
417,1
418,2
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,3
428,2
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,2
438,1
439,1
440,1
441,1
442,2
443,1
444,1
445,2
446,1
447,2
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,2
457,1
458,1
459,1
460,1
461,1
462,2
463,1
464,2
465,1
466,1
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,2
475,1
476,1
477,1
478,2
479,1
480,2
481,2
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,2
495,1
496,3
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,2
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,3
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,2
528,3
529,1
530,1
531,1
532,2
533,1
534,1
535,2
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,2
546,1
547,1
548,1
549,1
550,3
551,1
552,1
553,1
554,0
555,2
556,1
557,1
558,2
559,1
560,1
561,1
562,1
563,1
564,1
565,2
566,1
567,1
568,1
569,1
570,1
571,1
572,2
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,3
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,2
600,1
601,2
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,1
619,1
620,1
621,2
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,1
630,1
631,2
632,1
633,1
634,1
635,2
636,1
637,1
638,1
639,1
640,3
641,2
642,1
643,1
644,1
645,1
646,1
647,2
648,1
649,1
650,1
651,1
652,2
653,1
654,1
655,1
656,1
657,1
658,2
659,1
660,1
661,1
662,1
663,1
664,2
665,1
666,2
667,1
668,1
669,1
670,1
671,1
672,1
673,2
674,1
675,1
676,2
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,2
687,1
688,1
689,2
690,2
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,2
711,1
712,1
713,1
714,1
715,1
716,1
717,3
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,2
730,2
731,1
732,1
733,1
734,1
735,3
736,3
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,2
747,2
748,1
749,3
750,1
751,1
752,2
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,3
763,1
764,1
765,1
766,1
767,3
768,1
769,1
770,1
771,1
772,1
773,1
774,2
775,1
776,1
777,1
778,0
779,1
780,2
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,2
791,1
792,1
793,1
794,1
795,2
796,1
797,2
798,1
799,1
800,0
801,1
802,1
803,1
804,3
805,1
806,3
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,2
821,1
822,2
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,2
831,1
832,2
833,1
834,2
835,1
836,1
837,1
838,1
839,1
840,1
841,2
842,1
843,1
844,1
845,1
846,1
847,0
848,1
849,1
850,1
851,3
852,1
853,1
854,0
855,1
856,1
857,1
858,1
859,1
860,1
861,0
862,3
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,3
885,1
886,2
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0
907,2
908,1
909,1
910,1
911,1
912,2
913,1
914,1
915,1
916,1
917,2
918,1
919,1
920,1
921,1
922,3
923,1
924,1
925,1
926,1
927,1
928,1
929,2
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,2
946,1
947,1
948,3
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,2
959,0
960,1
961,1
962,1
963,1
964,0
965,1
966,2
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,3
980,1
981,1
982,1
983,1
984,1
985,1
986,2
987,1
988,1
989,2
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,2
998,1
999,1
1000,1
1001,1
1002,2
1003,1
1004,1
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,2
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,2
1021,2
1022,2
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,2
1042,1
1043,1
1044,1
1045,2
1046,1
1047,2
1048,1
1049,2
1050,1
1051,1
1052,1
1053,1
1054,1
1055,2
1056,2
1057,1
1058,1
1059,2
